,mjd,mag,magerr
0,51075.438598,19.955,0.023
5,51818.408243,19.88,0.02
10,51875.237280,19.935,0.022
15,52171.396364,20.011,0.022
20,52171.469701,20.015,0.021
25,52173.372608,20.028,0.024
30,52224.352792,19.976,0.02
35,52225.318109,19.99,0.02
40,52234.309261,19.987,0.024
45,52261.272615,19.934,0.02
50,52283.139991,19.931,0.028
55,52287.153113,19.988,0.023
60,52288.152533,19.936,0.022
65,52551.425818,20.003,0.022
70,52552.471805,19.98,0.02
75,52557.446164,19.971,0.022
80,52558.458690,19.994,0.02
85,52578.330300,19.983,0.019
90,52585.293281,19.999,0.023
95,52585.347493,19.96,0.019
100,52908.420731,19.965,0.022
105,52909.459913,20.005,0.02
110,52910.430155,19.95,0.021
115,52912.400170,19.95,0.021
120,52934.352638,19.914,0.022
125,52935.357326,20.003,0.023
130,52936.348565,19.955,0.021
135,52963.280404,20.005,0.02
140,53270.412613,20.065,0.019
145,53272.462562,20.08,0.022
150,53286.431282,20.022,0.023
155,53288.389774,20.009,0.023
160,53294.437446,19.96,0.022
165,53296.384451,19.995,0.028
170,53298.434223,20.027,0.027
175,53302.385444,19.924,0.025
180,53312.340979,20.018,0.03
185,53314.342175,19.991,0.026
190,53319.329972,19.955,0.028
195,53351.202708,19.996,0.027
200,53616.446526,19.736,0.021
205,53622.459757,19.774,0.016
210,53626.422953,-99.0,0.022
215,53627.416855,19.713,0.018
220,53628.407819,19.744,0.025
225,53634.409228,19.71,0.045
230,53638.450565,19.677,0.025
235,53640.414601,19.713,0.02
240,53641.453980,19.665,0.022
245,53643.457076,19.746,0.021
250,53646.476008,19.706,0.02
255,53657.412865,19.688,0.025
260,53657.459042,19.727,0.02
265,53663.397414,19.639,0.03
270,53663.476425,19.669,0.039
275,53664.411730,19.688,0.079
280,53665.375386,19.677,0.023
285,53665.476356,19.672,0.029
290,53666.467495,19.604,0.023
295,53668.387015,19.681,0.027
300,53668.464973,19.642,0.028
305,53669.370976,19.705,0.022
310,53669.474622,19.654,0.029
315,53670.391866,19.691,0.026
320,53670.470945,19.678,0.026
325,53671.455722,19.724,0.02
330,53673.359854,19.72,0.017
335,53674.355214,19.694,0.024
340,53675.356741,19.691,0.02
345,53676.444665,19.785,0.027
350,53676.476388,19.724,0.063
355,53679.416569,19.66,0.021
360,53680.364439,19.663,0.022
365,53681.408083,19.726,0.022
370,53683.422988,19.732,0.041
375,53684.369581,19.725,0.046
380,53686.363870,19.718,0.028
385,53687.310897,19.736,0.044
390,53693.366329,19.662,0.039
395,53696.373801,19.717,0.021
400,53697.365108,19.736,0.022
405,53699.387164,19.696,0.021
410,53700.364065,19.736,0.02
415,53704.349649,19.699,0.021
420,53705.350734,19.754,0.024
425,53975.435747,19.77,0.025
430,53989.445704,19.81,0.03
435,53994.458749,19.751,0.022
440,53996.442466,19.761,0.026
445,53997.469289,19.754,0.025
450,54000.421124,19.789,0.026
455,54005.455645,19.739,0.018
460,54007.471269,19.735,0.017
465,54009.395080,19.775,0.021
470,54009.469461,19.741,0.018
475,54010.396585,19.742,0.019
480,54011.459535,19.762,0.024
485,54012.389445,19.725,0.027
490,54012.472353,19.729,0.021
495,54019.454541,19.728,0.024
500,54020.427503,19.769,0.027
505,54024.476995,19.754,0.025
510,54025.458593,19.77,0.025
515,54028.465286,19.704,0.02
520,54030.420715,19.76,0.022
525,54035.464706,19.811,0.027
530,54037.370215,19.724,0.017
535,54040.384720,19.711,0.017
540,54041.420215,19.745,0.019
545,54047.415223,19.818,0.044
550,54049.411155,19.768,0.028
555,54050.371318,19.747,0.041
560,54053.390786,19.718,0.024
565,54056.377138,19.732,0.022
570,54059.371415,19.706,0.022
575,54061.382514,19.682,0.025
580,54062.376310,19.703,0.018
585,54064.372763,19.749,0.023
590,54068.356933,19.756,0.034
595,54346.452325,19.542,0.024
600,54348.456283,19.557,0.023
605,54357.414632,19.436,0.021
610,54358.412129,19.52,0.021
615,54362.464441,19.455,0.016
620,54365.445185,19.469,0.016
625,54376.459528,19.468,0.019
630,54381.464768,19.485,0.02
635,54382.444648,19.481,0.02
640,54385.462433,19.488,0.022
645,54386.457094,19.521,0.022
650,54387.462953,19.505,0.022
655,54388.461321,19.48,0.02
660,54391.463781,19.516,0.028
665,54392.458894,19.485,0.022
670,54402.456097,19.532,0.038
675,54403.375112,19.499,0.062
680,54404.432721,19.481,0.132
685,54406.368984,19.523,0.019
690,54409.373778,19.527,0.019
695,54412.394702,19.497,0.025
